source,city,country,species,common_name,latitude,longitude,date,observer,photo_url,quality,record_url
iNaturalist,Lagos,Nigeria,Naja melanoleuca,Forest Cobra,6.4351838756,3.5348383337,2026-04-18,gbolahanoladoja,https://inaturalist-open-data.s3.amazonaws.com/photos/640660171/medium.jpg,research,https://www.inaturalist.org/observations/351095269
iNaturalist,Lagos,Nigeria,Naja melanoleuca,Forest Cobra,6.4359578142,3.5348540917,2026-04-13,gbolahanoladoja,https://inaturalist-open-data.s3.amazonaws.com/photos/637974283/medium.jpg,research,https://www.inaturalist.org/observations/349705887
iNaturalist,Lagos,Nigeria,Naja melanoleuca,Forest Cobra,6.4415182765,3.5357710719,2026-04-12,charlesanyebepaul,https://inaturalist-open-data.s3.amazonaws.com/photos/637090137/medium.jpg,research,https://www.inaturalist.org/observations/349259152
iNaturalist,Lagos,Nigeria,Philothamnus semivariegatus,Spotted Bush Snake,6.4367378023,3.5361186428,2026-04-09,hammedojo,https://inaturalist-open-data.s3.amazonaws.com/photos/635949319/medium.jpg,research,https://www.inaturalist.org/observations/348676309
iNaturalist,Lagos,Nigeria,Hapsidophrys smaragdina,Emerald Snake,6.4343166667,3.5349783333,2026-03-09,venomag,https://inaturalist-open-data.s3.amazonaws.com/photos/629158919/medium.jpg,research,https://www.inaturalist.org/observations/345245786
iNaturalist,Lagos,Nigeria,Hapsidophrys smaragdina,Emerald Snake,6.4388771253,3.5350389068,2026-03-23,hammedojo,https://inaturalist-open-data.s3.amazonaws.com/photos/628127888/medium.jpg,research,https://www.inaturalist.org/observations/344717061
iNaturalist,Lagos,Nigeria,Python sebae,African Rock Python,6.4260077147,3.5981524271,2026-03-11,charlesanyebepaul,https://inaturalist-open-data.s3.amazonaws.com/photos/623617321/medium.jpg,research,https://www.inaturalist.org/observations/342447703
iNaturalist,Lagos,Nigeria,Naja melanoleuca,Forest Cobra,6.4407774559,3.535180832,2026-03-03,hammedojo,https://inaturalist-open-data.s3.amazonaws.com/photos/620903309/medium.jpg,research,https://www.inaturalist.org/observations/341114445
iNaturalist,Lagos,Nigeria,Hapsidophrys smaragdina,Emerald Snake,6.4376803717,3.535101828,2026-02-27,hammedojo,https://inaturalist-open-data.s3.amazonaws.com/photos/619899376/medium.jpg,research,https://www.inaturalist.org/observations/340623961
iNaturalist,Lagos,Nigeria,Naja melanoleuca,Forest Cobra,6.4391146037,3.5362219233,2026-02-23,hammedojo,https://inaturalist-open-data.s3.amazonaws.com/photos/618384088/medium.jpg,research,https://www.inaturalist.org/observations/339879586
iNaturalist,Lagos,Nigeria,Naja melanoleuca,Forest Cobra,6.4409320501,3.5352771545,2026-02-21,hammedojo,https://inaturalist-open-data.s3.amazonaws.com/photos/618060156/medium.jpg,research,https://www.inaturalist.org/observations/339721399
iNaturalist,Lagos,Nigeria,Hapsidophrys smaragdina,Emerald Snake,6.4415182765,3.5357710719,2026-02-22,charlesanyebepaul,https://inaturalist-open-data.s3.amazonaws.com/photos/618059789/medium.jpg,research,https://www.inaturalist.org/observations/339721306
iNaturalist,Lagos,Nigeria,Python sebae,African Rock Python,6.4625636893,3.4891098587,2026-02-22,charlesanyebepaul,https://inaturalist-open-data.s3.amazonaws.com/photos/618057918/medium.jpg,research,https://www.inaturalist.org/observations/339720530
iNaturalist,Lagos,Nigeria,Python sebae,African Rock Python,6.4807657267,3.4390326282,2026-02-15,charlesanyebepaul,https://inaturalist-open-data.s3.amazonaws.com/photos/616010785/medium.jpg,research,https://www.inaturalist.org/observations/338704953
iNaturalist,Lagos,Nigeria,Naja melanoleuca,Forest Cobra,6.4408363655,3.5347857543,2026-02-14,jalomuhammad199,https://inaturalist-open-data.s3.amazonaws.com/photos/615730802/medium.jpg,research,https://www.inaturalist.org/observations/338561410
iNaturalist,Lagos,Nigeria,Python sebae,African Rock Python,6.4094824708,3.4861390269,2026-02-13,jalomuhammad199,https://inaturalist-open-data.s3.amazonaws.com/photos/615721952/medium.jpg,research,https://www.inaturalist.org/observations/338557162
iNaturalist,Lagos,Nigeria,Psammophis phillipsii,Olive Grass Racer,6.4317583424,3.5369038054,2026-02-12,jalomuhammad199,https://inaturalist-open-data.s3.amazonaws.com/photos/615721960/medium.jpg,research,https://www.inaturalist.org/observations/338557161
iNaturalist,Lagos,Nigeria,Causus maculatus,Spotted Night Adder,6.4318073302,3.5371658671,2026-02-12,jalomuhammad199,https://inaturalist-open-data.s3.amazonaws.com/photos/615721932/medium.jpg,research,https://www.inaturalist.org/observations/338557160
iNaturalist,Lagos,Nigeria,Psammophis,Sand Racers,6.432276015,4.0336048231,2026-01-07,uthmanoyebamiji,https://inaturalist-open-data.s3.amazonaws.com/photos/607429389/medium.jpg,needs_id,https://www.inaturalist.org/observations/334481894
iNaturalist,Lagos,Nigeria,Dendroaspis jamesoni,Jameson's Mamba,6.4343043229,3.5349781439,2026-01-11,jalomuhammad199,https://inaturalist-open-data.s3.amazonaws.com/photos/607238847/medium.jpg,research,https://www.inaturalist.org/observations/334389939
iNaturalist,Lagos,Nigeria,Python sebae,African Rock Python,6.5300011465,3.4358047533,2025-12-28,charlesanyebepaul,https://inaturalist-open-data.s3.amazonaws.com/photos/603590073/medium.jpg,research,https://www.inaturalist.org/observations/332572382
iNaturalist,Lagos,Nigeria,Python sebae,African Rock Python,6.50612933,3.4372388273,2025-12-22,hammedojo,https://inaturalist-open-data.s3.amazonaws.com/photos/601758105/medium.jpg,research,https://www.inaturalist.org/observations/331682791
